comment_id	comment_length	author	city	age
506099	14	252587992	Холмская	0
505983	3	229352107	0	0
505984	2	16762813	Praha	26
505985	3	200197676	0	0
505986	2	16772704	Королёв	0
505987	4	22797052	Ярославль	0
505989	4	154455915	0	20
505991	1	182325346	0	0
505992	3	173831525	Яровое	18
505993	13	302984513	Омск	22
505994	3	3620549	Санкт-Петербург	0
505996	5	15936394	Нижний_Новгород	113
505997	9	414780165	Норильск	108
505998	7	20461760	Днепропетровск_(Днепр)	24
505999	1	266642993	Алматы	0
506000	1	181810617	Москва	0
506002	2	285176567	0	0
506100	5	269077024	Хабаровск	0
506111	7	376013900	Ульяновск	0
505950	3	226522535	0	0
505951	2	258363642	Балаклея	15
505952	7	79944520	Кривой_Рог	18
505954	6	136549228	0	0
505956	10	416067237	0	20
505957	2	31234830	Москва	18
505959	8	124305793	0	0
505960	1	27250210	Санкт-Петербург	23
505961	6	44230411	Калининград	21
505962	6	212375829	0	0
505963	14	160576460	0	0
505964	2	352056323	0	0
505965	11	40164621	Одесса	21
505968	4	31669488	0	0
505970	7	256604569	Boston	24
505973	7	3844171	Тюмень	28
506001	9	181810617	Москва	0
506029	3	28390665	0	0
505933	2	383650751	0	0
505934	2	392354082	0	0
505935	4	16332515	Балашиха	19
505936	1	773889	Санкт-Петербург	0
505938	3	2240394	Москва	27
505941	3	27532047	Волгоград	22
505942	2	173054	Челябинск	29
505945	1	172445891	0	0
505946	1	1412174	Тосно	0
506104	7	315689551	Новосибирск	32
506112	1	320448172	0	0
505903	3	55369661	0	27
505904	6	64693868	Санкт-Петербург	20
505905	11	290189772	Киев	23
505906	3	263853267	0	0
505907	5	153258713	0	0
505908	3	107157514	Киев	0
505909	4	12153301	Москва	30
505910	7	166809796	Koln	22
505911	4	152057471	Пятигорск	0
505912	8	306585397	Долгопрудный	0
505913	4	122967496	Темиртау	21
505914	11	1253766	Москва	0
505915	7	212512616	0	100
505916	8	16196970	Brno	0
505917	6	304893903	0	16
505918	3	143091033	Bogota	0
505919	33	64693868	Санкт-Петербург	20
505920	2	25936568	Санкт-Петербург	27
505921	1	276624003	Москва	19
505923	13	147114673	Москва	26
505926	13	148127137	Bruxelles	0
505930	14	71218257	Бишкек	0
505937	10	171666405	Иркутск	0
505940	3	162063948	0	0
505948	3	3262152	Москва	20
505966	10	233433999	New_York_City	116
505971	18	64693868	Санкт-Петербург	20
505976	61	155462882	0	0
505981	8	143731143	Приютово	0
506063	5	29913421	Санкт-Петербург	17
506067	40	36809572	Санкт-Петербург	0
506089	4	180929049	Казань	26
506148	2	192181699	0	0
505849	3	7429567	Санкт-Петербург	23
505850	3	140769725	Обнинск	21
505852	4	207918177	Москва	21
505853	3	184524527	Великий_Новгород	26
505854	5	52046057	Октябрьский	0
505855	13	1793691	Москва	0
505856	18	29629954	Москва	20
505857	9	49292705	0	0
505858	12	153671776	Новосибирск	0
505859	6	235737164	Москва	0
505861	14	235737164	Москва	0
505862	11	988266	Санкт-Петербург	28
505863	1	67003398	Москва	0
505865	4	240598845	Reykjavik	0
505866	3	6516712	Москва	0
505869	19	4297497	Воронеж	37
505870	16	210348370	0	0
505871	5	4700849	Нижний_Новгород	0
505872	9	33985525	Москва	0
505873	2	40584711	Гатчина	0
505875	6	153671776	Новосибирск	0
505876	8	4700849	Нижний_Новгород	0
505877	7	240598845	Reykjavik	0
505878	4	230392008	Ростов-на-Дону	18
505879	15	183504320	Ставрополь	0
505880	12	153671776	Новосибирск	0
505882	17	4700849	Нижний_Новгород	0
505883	3	144132224	Минск	19
505885	2	169902348	Санкт-Петербург	0
505886	37	4700849	Нижний_Новгород	0
505887	36	153671776	Новосибирск	0
505888	3	29629954	Москва	20
505889	1	90421871	Волгоград	18
505890	62	4700849	Нижний_Новгород	0
505891	3	99022787	Пенза	20
505892	9	208867006	0	0
505893	2	4700849	Нижний_Новгород	0
505895	20	3787291	0	0
505896	27	4700849	Нижний_Новгород	0
505897	17	3787291	0	0
505898	20	23238023	Владивосток	0
505899	13	4700849	Нижний_Новгород	0
505900	12	3787291	0	0
505901	2	83133831	Тольятти	0
505927	2	43350663	Псков	0
505947	4	29629954	Москва	20
505975	8	339252336	Москва	0
505977	5	241958442	Симферополь	16
505978	33	339252336	Москва	0
505979	13	241958442	Симферополь	16
506003	176	28206624	Москва	42
506069	9	14100889	0	77
506070	29	24508174	Киев	0
506085	13	328874	Санкт-Петербург	35
506113	41	17354163	0	30
506154	9	346522061	Баку	48
506163	41	17354163	0	30
506165	15	346522061	Баку	48
506166	57	17354163	0	30
506221	13	14113971	Гомель	0
505815	4	120282476	Минск	18
505816	3	144132224	Минск	19
505817	5	97564411	Горловка	0
505818	9	6248687	Биробиджан	23
505819	1	21924181	Казань	20
505820	1	419724135	Москва	0
505821	7	365076	Москва	31
505822	6	153258713	0	0
505823	1	111931014	0	0
505824	3	84568901	Бишкек	0
505825	5	24506812	Москва	19
505826	4	198369247	Санкт-Петербург	17
505827	4	25926187	Санкт-Петербург	23
505828	4	14618105	Москва	0
505829	3	419724135	Москва	0
505830	3	31284146	Provodov	0
505832	3	25655712	Санкт-Петербург	0
505833	7	260133318	Куст	0
505834	25	12793235	Kabul	34
505835	15	24506812	Москва	19
505836	11	439793	Санкт-Петербург	0
505837	5	12793235	Kabul	34
505838	4	71697519	Санкт-Петербург	19
505839	34	10733607	Тамбов	0
505840	24	68246620	0	0
505842	19	48577426	Мытищи	20
505843	13	92817355	Сарапул	0
505845	6	72002410	Североморск	20
505867	12	8633729	0	0
505929	7	21813340	Томск	21
505931	18	24978485	Минск	0
505939	2	369351322	0	25
505944	13	102587656	Волгоград	0
505972	7	90153957	Минск	20
505974	5	181907618	0	0
505980	6	132495510	0	0
506132	6	152563696	0	0
506190	5	362739320	0	0
505808	3	250727728	0	27
505847	13	1631962	Санкт-Петербург	0
505864	9	250727728	0	27
505868	22	1631962	Санкт-Петербург	0
506185	49	346522061	Баку	48
505781	7	5099713	0	0
505782	5	98239440	Самара	23
505783	17	1052728	Мытищи	0
505785	2	321887220	Москва	0
505786	17	184186667	0	0
505788	4	102571727	Новосибирск	0
505789	24	40517810	Архангельск	25
505791	35	1052728	Мытищи	0
505792	5	144995686	0	26
505797	4	13629768	Самара	24
505799	6	102571727	Новосибирск	0
505810	1	85183915	Междуреченск	0
505745	5	353236824	0	21
505746	4	41775768	Железногорск	27
505747	5	307598409	Петропавловск-Камчатский	18
505748	3	572936	Санкт-Петербург	25
